Potion Number,Ranking,Artist,Artist Rarity,Element,Element Rarity,Finish,Finish Rarity,Color,Color Rarity,Shape,Shape Rarity,Taste,Taste Rarity,Matter,Matter Rarity,Potency,Potency Rarity,Temperature,Temperature Rarity,Superpower,Superpower Rarity
321,22,,,Galaxy,0.33%,Hubble,0.33%,Night Sky,0.33%,Edamame,10.00%,Sweet,30.00%,Solid,30.00%,Mild,40.00%,Boling,5.00%,Sympathy,3.00%
1990,23,,,Galaxy,0.33%,Hubble,0.33%,Night Sky,0.33%,Wormhole,10.00%,Sour,21.00%,Condensate,10.00%,Mild,40.00%,Steamy,30.00%,Honesty,3.00%
2355,24,,,Galaxy,0.33%,Hubble,0.33%,Night Sky,0.33%,Carrot,10.00%,Salty,30.00%,Plasma,8.00%,Moderate,50.00%,Toasty,22.00%,Gratitude,4.00%
2436,25,,,Galaxy,0.33%,Hubble,0.33%,Night Sky,0.33%,Original,10.00%,Sour,21.00%,Solid,30.00%,Severe,9.00%,Boling,5.00%,Pride,15.00%
1427,26,,,Landscape,0.33%,Pacific,0.33%,Pacific Blue,0.33%,Hourglass,10.00%,Sour,21.00%,Liquid,50.00%,Moderate,50.00%,Steamy,30.00%,Empathy,3.00%
1665,27,,,Galaxy,0.33%,Hubble,0.33%,Night Sky,0.33%,Hourglass,10.00%,Sour,21.00%,Liquid,50.00%,Mild,40.00%,Toasty,22.00%,Gratitude,4.00%
119,28,,,Landscape,0.33%,Pacific,0.33%,Pacific Blue,0.33%,Drillbit,10.00%,Sweet,30.00%,Plasma,8.00%,Mild,40.00%,Ambient,41.00%,Charm,6.00%
2565,29,,,Galaxy,0.33%,Hubble,0.33%,Night Sky,0.33%,Classic,10.00%,Bitter,18.00%,Liquid,50.00%,Mild,40.00%,Toasty,22.00%,Artistry,5.00%
1670,30,,,Landscape,0.33%,Pacific,0.33%,Pacific Blue,0.33%,Wormhole,10.00%,Sour,21.00%,Solid,30.00%,Moderate,50.00%,Steamy,30.00%,Patience,5.00%
1802,31,,,Landscape,0.33%,Pacific,0.33%,Pacific Blue,0.33%,Beacon,10.00%,Sour,21.00%,Solid,30.00%,Moderate,50.00%,Ambient,41.00%,Artistry,5.00%
357,32,,,Landscape,0.33%,Pacific,0.33%,Pacific Blue,0.33%,Edamame,10.00%,Sour,21.00%,Solid,30.00%,Moderate,50.00%,Ambient,41.00%,Courtesy,5.00%
1996,33,,,Landscape,0.33%,Pacific,0.33%,Pacific Blue,0.33%,Spool,10.00%,Sour,21.00%,Liquid,50.00%,Moderate,50.00%,Ambient,41.00%,Wisdom,5.00%
1031,34,,,Galaxy,0.33%,Hubble,0.33%,Night Sky,0.33%,Spool,10.00%,Bitter,18.00%,Condensate,10.00%,Moderate,50.00%,Steamy,30.00%,Elegance,12.00%
2878,35,,,Landscape,0.33%,Pacific,0.33%,Pacific Blue,0.33%,Carrot,10.00%,Sweet,30.00%,Liquid,50.00%,Severe,9.00%,Ambient,41.00%,Pride,15.00%
535,36,,,Landscape,0.33%,Pacific,0.33%,Pacific Blue,0.33%,Classic,10.00%,Bitter,18.00%,Liquid,50.00%,Mild,40.00%,Ambient,41.00%,Elegance,12.00%
2749,37,,,Galaxy,0.33%,Hubble,0.33%,Night Sky,0.33%,Beacon,10.00%,Sour,21.00%,Liquid,50.00%,Mild,40.00%,Ambient,41.00%,Elegance,12.00%
125,38,,,Landscape,0.33%,Pacific,0.33%,Pacific Blue,0.33%,Blimp,10.00%,Salty,30.00%,Solid,30.00%,Moderate,50.00%,Ambient,41.00%,Elegance,12.00%
190,39,,,Galaxy,0.33%,Hubble,0.33%,Night Sky,0.33%,Drillbit,10.00%,Bitter,18.00%,Liquid,50.00%,Moderate,50.00%,Ambient,41.00%,Pride,15.00%
1477,40,,,Landscape,0.33%,Pacific,0.33%,Pacific Blue,0.33%,Original,10.00%,Sweet,30.00%,Liquid,50.00%,Mild,40.00%,Ambient,41.00%,Kindness,15.00%
2211,41,,,Salt,0.33%,Himalayan,0.33%,Pink,0.67%,Drillbit,10.00%,Bitter,18.00%,Liquid,50.00%,Moderate,50.00%,Boling,5.00%,Humor,1.00%
1000,42,,,Music,0.33%,Lullaby,0.33%,Tans,0.67%,Drillbit,10.00%,Salty,30.00%,Liquid,50.00%,Mild,40.00%,Toasty,22.00%,Humor,1.00%
347,43,,,Music,0.33%,Lullaby,0.33%,Tans,0.67%,Wormhole,10.00%,Salty,30.00%,Liquid,50.00%,Moderate,50.00%,Toasty,22.00%,Humor,1.00%
2539,44,,,Salt,0.33%,Himalayan,0.33%,Pink,0.67%,Edamame,10.00%,Salty,30.00%,Liquid,50.00%,Moderate,50.00%,Chilled,2.00%,Compassion,2.00%
2112,45,,,Music,0.33%,Lullaby,0.33%,Tans,0.67%,Carrot,10.00%,Bitter,18.00%,Liquid,50.00%,Moderate,50.00%,Ambient,41.00%,Humanity,2.00%
1049,46,,,Music,0.33%,Lullaby,0.33%,Tans,0.67%,Edamame,10.00%,Salty,30.00%,Solid,30.00%,Mild,40.00%,Toasty,22.00%,Honesty,3.00%
1747,47,,,Salt,0.33%,Himalayan,0.33%,Pink,0.67%,Spool,10.00%,Bitter,18.00%,Liquid,50.00%,Mild,40.00%,Steamy,30.00%,Empathy,3.00%
2021,48,,,Salt,0.33%,Himalayan,0.33%,Pink,0.67%,Hourglass,10.00%,Sweet,30.00%,Liquid,50.00%,Moderate,50.00%,Steamy,30.00%,Sympathy,3.00%
102,49,,,Salt,0.33%,Himalayan,0.33%,Pink,0.67%,Wormhole,10.00%,Sweet,30.00%,Liquid,50.00%,Moderate,50.00%,Steamy,30.00%,Fairness,3.00%
1319,50,,,Salt,0.33%,Himalayan,0.33%,Pink,0.67%,Blimp,10.00%,Salty,30.00%,Liquid,50.00%,Moderate,50.00%,Ambient,41.00%,Fairness,3.00%
896,51,,,Salt,0.33%,Himalayan,0.33%,Pink,0.67%,Classic,10.00%,Salty,30.00%,Plasma,8.00%,Moderate,50.00%,Toasty,22.00%,Courtesy,5.00%
531,52,,,Music,0.33%,Lullaby,0.33%,Tans,0.67%,Classic,10.00%,Sour,21.00%,Solid,30.00%,Moderate,50.00%,Toasty,22.00%,Love,5.00%
1036,53,,,Music,0.33%,Lullaby,0.33%,Tans,0.67%,Beacon,10.00%,Bitter,18.00%,Solid,30.00%,Moderate,50.00%,Ambient,41.00%,Courtesy,5.00%
2403,54,,,Music,0.33%,Lullaby,0.33%,Tans,0.67%,Blimp,10.00%,Sour,21.00%,Solid,30.00%,Moderate,50.00%,Ambient,41.00%,Courtesy,5.00%
2714,55,,,Salt,0.33%,Himalayan,0.33%,Pink,0.67%,Carrot,10.00%,Sour,21.00%,Plasma,8.00%,Mild,40.00%,Toasty,22.00%,Pride,15.00%
2532,56,,,Stone,2.00%,Stacked,0.33%,Beiges,0.33%,Blimp,10.00%,Bitter,18.00%,Liquid,50.00%,Toxic,1.00%,Steamy,30.00%,Love,5.00%
2844,57,,,Marble,10.33%,Verde Guatemala,0.33%,Emerald Green,0.33%,Wormhole,10.00%,Salty,30.00%,Gas,2.00%,Toxic,1.00%,Toasty,22.00%,Elegance,12.00%
2732,58,,,Stone,2.00%,Stacked,0.33%,Beiges,0.33%,Drillbit,10.00%,Umami,1.00%,Liquid,50.00%,Moderate,50.00%,Toasty,22.00%,Charm,6.00%
1197,59,,,Salt,0.33%,Himalayan,0.33%,Pink,0.67%,Beacon,10.00%,Bitter,18.00%,Solid,30.00%,Moderate,50.00%,Toasty,22.00%,Elegance,12.00%
436,60,,,Music,0.33%,Lullaby,0.33%,Tans,0.67%,Original,10.00%,Sour,21.00%,Liquid,50.00%,Moderate,50.00%,Steamy,30.00%,Elegance,12.00%
1483,61,,,Salt,0.33%,Himalayan,0.33%,Pink,0.67%,Original,10.00%,Salty,30.00%,Solid,30.00%,Moderate,50.00%,Steamy,30.00%,Elegance,12.00%
2603,62,,,Music,0.33%,Lullaby,0.33%,Tans,0.67%,Spool,10.00%,Sour,21.00%,Liquid,50.00%,Mild,40.00%,Steamy,30.00%,Kindness,15.00%
1533,63,,,Music,0.33%,Lullaby,0.33%,Tans,0.67%,Hourglass,10.00%,Sweet,30.00%,Liquid,50.00%,Moderate,50.00%,Steamy,30.00%,Elegance,12.00%
2783,64,,,Stone,2.00%,Stacked,0.33%,Beiges,0.33%,Edamame,10.00%,Sweet,30.00%,Liquid,50.00%,Toxic,1.00%,Toasty,22.00%,Kindness,15.00%
2326,65,,,Fabric,5.00%,Knit,0.33%,Cobalt Blue,0.33%,Edamame,10.00%,Umami,1.00%,Liquid,50.00%,Mild,40.00%,Toasty,22.00%,Fairness,3.00%
2440,66,,,Precious Metals,1.00%,Aereus,0.33%,Bronze,0.33%,Spool,10.00%,Sour,21.00%,Liquid,50.00%,Moderate,50.00%,Boling,5.00%,Honesty,3.00%
620,67,,,Precious Metals,1.00%,Aereus,0.33%,Bronze,0.33%,Classic,10.00%,Salty,30.00%,Solid,30.00%,Moderate,50.00%,Ambient,41.00%,Humanity,2.00%
2004,68,,,Culinary,2.00%,Noodles,0.33%,Buffs,0.33%,Spool,10.00%,Sweet,30.00%,Liquid,50.00%,Mild,40.00%,Ambient,41.00%,Forgiveness,1.00%
342,69,,,Stone,2.00%,Stacked,0.33%,Beiges,0.33%,Original,10.00%,Salty,30.00%,Liquid,50.00%,Mild,40.00%,Ambient,41.00%,Forgiveness,1.00%
2515,70,,,Paper,3.00%,Folded,0.33%,Tennis Ball,0.33%,Carrot,10.00%,Salty,30.00%,Liquid,50.00%,Toxic,1.00%,Toasty,22.00%,Charm,6.00%
1778,71,,,Leather,2.00%,Full Grain,0.33%,Maroons,0.33%,Spool,10.00%,Salty,30.00%,Liquid,50.00%,Moderate,50.00%,Ambient,41.00%,Forgiveness,1.00%
2224,72,,,Culinary,2.00%,Noodles,0.33%,Buffs,0.33%,Original,10.00%,Salty,30.00%,Liquid,50.00%,Moderate,50.00%,Ambient,41.00%,Humor,1.00%
1248,73,,,Ice,0.33%,Frozen Lake,0.33%,Blue,1.33%,Spool,10.00%,Bitter,18.00%,Gas,2.00%,Mild,40.00%,Ambient,41.00%,Wisdom,5.00%
634,74,,,Ice,0.33%,Frozen Lake,0.33%,Blue,1.33%,Edamame,10.00%,Sour,21.00%,Condensate,10.00%,Severe,9.00%,Toasty,22.00%,Humanity,2.00%
337,75,,,Precious Metals,1.00%,Argenti,0.33%,Silver,0.33%,Carrot,10.00%,Sweet,30.00%,Condensate,10.00%,Mild,40.00%,Ambient,41.00%,Honesty,3.00%
2692,76,,,Precious Metals,1.00%,Argenti,0.33%,Silver,0.33%,Edamame,10.00%,Sour,21.00%,Solid,30.00%,Moderate,50.00%,Boling,5.00%,Courtesy,5.00%
2353,77,,,Marble,10.33%,Verde Guatemala,0.33%,Emerald Green,0.33%,Hourglass,10.00%,Umami,1.00%,Liquid,50.00%,Moderate,50.00%,Ambient,41.00%,Fairness,3.00%
311,78,,,Terrain,4.00%,Fine Road,0.33%,Light Gray,0.33%,Wormhole,10.00%,Sweet,30.00%,Plasma,8.00%,Mild,40.00%,Steamy,30.00%,Humor,1.00%
2296,79,,,Binary Code,0.33%,Glossy,0.33%,Green,1.00%,Carrot,10.00%,Salty,30.00%,Liquid,50.00%,Moderate,50.00%,Toasty,22.00%,Fairness,3.00%
2635,80,,,Precious Metals,1.00%,Aereus,0.33%,Bronze,0.33%,Original,10.00%,Salty,30.00%,Solid,30.00%,Mild,40.00%,Ambient,41.00%,Fairness,3.00%
642,81,,,Paper,3.00%,Folded,0.33%,Tennis Ball,0.33%,Blimp,10.00%,Sweet,30.00%,Solid,30.00%,Moderate,50.00%,Ambient,41.00%,Forgiveness,1.00%
2701,82,,,Precious Metals,1.00%,Argenti,0.33%,Silver,0.33%,Beacon,10.00%,Salty,30.00%,Solid,30.00%,Moderate,50.00%,Ambient,41.00%,Honesty,3.00%
2330,83,,,Binary Code,0.33%,Glossy,0.33%,Green,1.00%,Hourglass,10.00%,Sweet,30.00%,Liquid,50.00%,Moderate,50.00%,Steamy,30.00%,Empathy,3.00%
517,84,,,Precious Metals,1.00%,Argenti,0.33%,Silver,0.33%,Drillbit,10.00%,Sweet,30.00%,Liquid,50.00%,Moderate,50.00%,Ambient,41.00%,Fairness,3.00%
2859,85,,,Binary Code,0.33%,Glossy,0.33%,Green,1.00%,Wormhole,10.00%,Sweet,30.00%,Plasma,8.00%,Moderate,50.00%,Ambient,41.00%,Patience,5.00%
2225,86,,,Precious Metals,1.00%,Aereus,0.33%,Bronze,0.33%,Blimp,10.00%,Sour,21.00%,Condensate,10.00%,Moderate,50.00%,Steamy,30.00%,Artistry,5.00%
2864,87,,,Precious Metals,1.00%,Aereus,0.33%,Bronze,0.33%,Beacon,10.00%,Sweet,30.00%,Condensate,10.00%,Moderate,50.00%,Toasty,22.00%,Artistry,5.00%
903,88,,,Precious Metals,1.00%,Argenti,0.33%,Silver,0.33%,Hourglass,10.00%,Sour,21.00%,Solid,30.00%,Moderate,50.00%,Toasty,22.00%,Gratitude,4.00%
5,89,,,Binary Code,0.33%,Glossy,0.33%,Green,1.00%,Original,10.00%,Sour,21.00%,Solid,30.00%,Moderate,50.00%,Toasty,22.00%,Gratitude,4.00%
1775,90,,,Terrain,4.00%,Fine Road,0.33%,Light Gray,0.33%,Beacon,10.00%,Sweet,30.00%,Liquid,50.00%,Mild,40.00%,Ambient,41.00%,Forgiveness,1.00%
2731,91,,,Flora,4.67%,Creeping Juniper,0.33%,Cyprus Green,0.33%,Blimp,10.00%,Umami,1.00%,Liquid,50.00%,Moderate,50.00%,Ambient,41.00%,Pride,15.00%
1517,92,,,Flora,4.67%,Pine Foliage,0.33%,Vibrant Green,0.33%,Original,10.00%,Sweet,30.00%,Liquid,50.00%,Moderate,50.00%,Steamy,30.00%,Humor,1.00%
2650,93,,,Binary Code,0.33%,Glossy,0.33%,Green,1.00%,Classic,10.00%,Sweet,30.00%,Solid,30.00%,Mild,40.00%,Ambient,41.00%,Wisdom,5.00%
2022,94,,,Binary Code,0.33%,Glossy,0.33%,Green,1.00%,Blimp,10.00%,Sweet,30.00%,Solid,30.00%,Mild,40.00%,Ambient,41.00%,Artistry,5.00%
2786,95,,,Binary Code,0.33%,Glossy,0.33%,Green,1.00%,Beacon,10.00%,Salty,30.00%,Liquid,50.00%,Mild,40.00%,Steamy,30.00%,Patience,5.00%
1634,96,,,Precious Metals,1.00%,Argenti,0.33%,Silver,0.33%,Classic,10.00%,Salty,30.00%,Liquid,50.00%,Mild,40.00%,Steamy,30.00%,Artistry,5.00%
2572,97,,,Binary Code,0.33%,Glossy,0.33%,Green,1.00%,Spool,10.00%,Sweet,30.00%,Liquid,50.00%,Mild,40.00%,Steamy,30.00%,Patience,5.00%
2537,98,,,Concrete,9.00%,Stained,0.33%,Dirt,0.33%,Beacon,10.00%,Bitter,18.00%,Solid,30.00%,Toxic,1.00%,Ambient,41.00%,Elegance,12.00%
1362,99,,,Precious Metals,1.00%,Aereus,0.33%,Bronze,0.33%,Drillbit,10.00%,Sweet,30.00%,Plasma,8.00%,Mild,40.00%,Steamy,30.00%,Elegance,12.00%
1478,100,,,Precious Metals,1.00%,Argenti,0.33%,Silver,0.33%,Spool,10.00%,Sour,21.00%,Plasma,8.00%,Moderate,50.00%,Steamy,30.00%,Kindness,15.00%
1713,101,,,Precious Metals,1.00%,Aereus,0.33%,Bronze,0.33%,Edamame,10.00%,Sour,21.00%,Plasma,8.00%,Moderate,50.00%,Steamy,30.00%,Pride,15.00%
2522,102,,,Marble,10.33%,Octagon Mosaic,0.33%,Scotch Mist,0.33%,Classic,10.00%,Bitter,18.00%,Liquid,50.00%,Toxic,1.00%,Steamy,30.00%,Pride,15.00%
1377,103,,,Ceramic,7.67%,Bubbles,0.33%,Rose & Tan,0.33%,Edamame,10.00%,Bitter,18.00%,Solid,30.00%,Mild,40.00%,Ambient,41.00%,Humor,1.00%
2498,104,,,Cork,2.67%,Natural,0.33%,Rich Tan,0.33%,Original,10.00%,Salty,30.00%,Gas,2.00%,Severe,9.00%,Steamy,30.00%,Charm,6.00%
1301,105,,,Ice,0.33%,Frozen Lake,0.33%,Blue,1.33%,Blimp,10.00%,Bitter,18.00%,Liquid,50.00%,Mild,40.00%,Ambient,41.00%,Courage,3.00%
380,106,,,Binary Code,0.33%,Glossy,0.33%,Green,1.00%,Edamame,10.00%,Salty,30.00%,Solid,30.00%,Mild,40.00%,Toasty,22.00%,Kindness,15.00%
2598,107,,,Culinary,2.00%,Noodles,0.33%,Buffs,0.33%,Hourglass,10.00%,Sour,21.00%,Condensate,10.00%,Mild,40.00%,Ambient,41.00%,Loyalty,2.00%
1388,108,,,Precious Metals,1.00%,Aereus,0.33%,Bronze,0.33%,Wormhole,10.00%,Sour,21.00%,Liquid,50.00%,Mild,40.00%,Steamy,30.00%,Pride,15.00%
2555,109,,,Precious Metals,1.00%,Aereus,0.33%,Bronze,0.33%,Hourglass,10.00%,Sweet,30.00%,Liquid,50.00%,Moderate,50.00%,Toasty,22.00%,Pride,15.00%
212,110,,,Precious Metals,1.00%,Argenti,0.33%,Silver,0.33%,Blimp,10.00%,Salty,30.00%,Liquid,50.00%,Moderate,50.00%,Steamy,30.00%,Pride,15.00%
2524,111,,,Precious Metals,1.00%,Argenti,0.33%,Silver,0.33%,Wormhole,10.00%,Sweet,30.00%,Liquid,50.00%,Mild,40.00%,Ambient,41.00%,Pride,15.00%
785,112,,,Precious Metals,1.00%,Argenti,0.33%,Silver,0.33%,Original,10.00%,Sweet,30.00%,Liquid,50.00%,Mild,40.00%,Ambient,41.00%,Kindness,15.00%
1703,113,,,Precious Metals,1.00%,Aereus,0.33%,Bronze,0.33%,Carrot,10.00%,Sweet,30.00%,Liquid,50.00%,Mild,40.00%,Ambient,41.00%,Kindness,15.00%
1129,114,,,Binary Code,0.33%,Glossy,0.33%,Green,1.00%,Drillbit,10.00%,Salty,30.00%,Liquid,50.00%,Moderate,50.00%,Ambient,41.00%,Pride,15.00%
2178,115,,,Ceramic,7.67%,Tiny Tiles,0.33%,Ocean,0.33%,Original,10.00%,Sweet,30.00%,Gas,2.00%,Severe,9.00%,Toasty,22.00%,Courage,3.00%
999,116,,,Ice,0.33%,Frozen Lake,0.33%,Blue,1.33%,Original,10.00%,Sour,21.00%,Condensate,10.00%,Mild,40.00%,Ambient,41.00%,Wisdom,5.00%
1899,117,,,Flora,4.67%,Creeping Fig,0.33%,Cyprus,0.33%,Beacon,10.00%,Sour,21.00%,Liquid,50.00%,Mild,40.00%,Chilled,2.00%,Sympathy,3.00%
2980,118,,,Paper,3.00%,Folded,0.33%,Tennis Ball,0.33%,Classic,10.00%,Bitter,18.00%,Gas,2.00%,Mild,40.00%,Ambient,41.00%,Love,5.00%
2993,119,,,Culinary,2.00%,Pumpkin Seeds,0.33%,Vibrant Yellow,0.33%,Carrot,10.00%,Bitter,18.00%,Liquid,50.00%,Mild,40.00%,Steamy,30.00%,Compassion,2.00%
2523,120,,,Mystic,0.33%,Forest,0.33%,Molasses,2.00%,Edamame,10.00%,Bitter,18.00%,Liquid,50.00%,Mild,40.00%,Ambient,41.00%,Compassion,2.00%
197,121,,,Mystic,0.33%,Forest,0.33%,Molasses,2.00%,Hourglass,10.00%,Sweet,30.00%,Solid,30.00%,Moderate,50.00%,Ambient,41.00%,Humanity,2.00%
46,122,,,Clay,2.00%,Pavers,0.33%,Mauve,0.67%,Drillbit,10.00%,Umami,1.00%,Liquid,50.00%,Moderate,50.00%,Steamy,30.00%,Humor,1.00%
2907,123,,,Ice,0.33%,Frozen Lake,0.33%,Blue,1.33%,Beacon,10.00%,Sweet,30.00%,Liquid,50.00%,Mild,40.00%,Ambient,41.00%,Love,5.00%
1040,124,,,Veneer,0.33%,Poplar,0.33%,Orange,3.67%,Blimp,10.00%,Sweet,30.00%,Liquid,50.00%,Mild,40.00%,Chilled,2.00%,Love,5.00%
878,125,,,Ice,0.33%,Frozen Lake,0.33%,Blue,1.33%,Drillbit,10.00%,Bitter,18.00%,Plasma,8.00%,Moderate,50.00%,Steamy,30.00%,Pride,15.00%
1579,126,,,Ice,0.33%,Frozen Lake,0.33%,Blue,1.33%,Classic,10.00%,Sweet,30.00%,Plasma,8.00%,Moderate,50.00%,Ambient,41.00%,Elegance,12.00%
2027,127,,,Mystic,0.33%,Forest,0.33%,Molasses,2.00%,Blimp,10.00%,Sweet,30.00%,Plasma,8.00%,Moderate,50.00%,Ambient,41.00%,Honesty,3.00%
2251,128,,,Leather,2.00%,Full Grain,0.33%,Maroons,0.33%,Hourglass,10.00%,Sweet,30.00%,Liquid,50.00%,Severe,9.00%,Ambient,41.00%,Honesty,3.00%
1363,129,,,Concrete,9.00%,Metal Edge,0.33%,Natural,0.33%,Beacon,10.00%,Bitter,18.00%,Solid,30.00%,Severe,9.00%,Chilled,2.00%,Love,5.00%
379,130,,,Tatami,0.33%,Woven,0.33%,Tan,4.67%,Original,10.00%,Sour,21.00%,Gas,2.00%,Moderate,50.00%,Ambient,41.00%,Courtesy,5.00%
2596,131,,,Flora,4.67%,Pine Foliage,0.33%,Vibrant Green,0.33%,Wormhole,10.00%,Salty,30.00%,Solid,30.00%,Mild,40.00%,Boling,5.00%,Loyalty,2.00%
1506,132,,,Stone,2.00%,Stacked,0.33%,Beiges,0.33%,Classic,10.00%,Salty,30.00%,Condensate,10.00%,Severe,9.00%,Ambient,41.00%,Love,5.00%
1683,133,,,Culinary,2.00%,Pumpkin Seeds,0.33%,Vibrant Yellow,0.33%,Beacon,10.00%,Salty,30.00%,Solid,30.00%,Mild,40.00%,Steamy,30.00%,Courage,3.00%
220,134,,,Terrain,4.00%,Old Road,0.33%,Warm White,0.33%,Drillbit,10.00%,Bitter,18.00%,Gas,2.00%,Moderate,50.00%,Toasty,22.00%,Elegance,12.00%
1800,135,,,Leather,2.00%,Full Grain,0.33%,Maroons,0.33%,Blimp,10.00%,Sour,21.00%,Liquid,50.00%,Moderate,50.00%,Steamy,30.00%,Honesty,3.00%
2019,136,,,Ice,0.33%,Frozen Lake,0.33%,Blue,1.33%,Wormhole,10.00%,Bitter,18.00%,Liquid,50.00%,Mild,40.00%,Steamy,30.00%,Pride,15.00%
2854,137,,,Ice,0.33%,Frozen Lake,0.33%,Blue,1.33%,Carrot,10.00%,Bitter,18.00%,Solid,30.00%,Moderate,50.00%,Ambient,41.00%,Kindness,15.00%
2119,138,,,Terrain,4.00%,Fine Road,0.33%,Light Gray,0.33%,Carrot,10.00%,Sweet,30.00%,Liquid,50.00%,Severe,9.00%,Boling,5.00%,Sympathy,3.00%
2558,139,,,Culinary,2.00%,Pumpkin Seeds,0.33%,Vibrant Yellow,0.33%,Spool,10.00%,Salty,30.00%,Liquid,50.00%,Mild,40.00%,Steamy,30.00%,Sympathy,3.00%
